,batch,epoch,sample,weight,HR,NDCG,ARP,PCC,SCC_score,SCC_rank,upo,mean,skew
0,256,0,ipw,1.0,0.9856630980991916,0,0,0.10591151962024595,0.6410019795949444,-0.9573397289477693,0.924,0.07816771966509564,3.818730905294706
1,256,1,ipw,1.0,0.9902170271648095,0,0,0.21051772770728894,0.9070915181970458,-0.971139028475712,0.97,0.0,0.0
2,256,2,ipw,1.0,0.9915228315490496,0,0,0.24716475639802546,0.9268950814679457,-0.97558093497792,0.977,0.0,0.0
3,256,3,ipw,1.0,0.9924004078362829,0,0,0.26561029976602285,0.9383508451347649,-0.9785960103548044,0.982,0.0,0.0
4,256,4,ipw,1.0,0.9929480737018426,0,0,0.2749528673046316,0.9438784833257196,-0.9805329678696513,0.985,0.0,0.0
5,256,5,ipw,1.0,0.9934731629160294,0,0,0.279671904822669,0.9471082686158063,-0.9812227805695142,0.987,0.0,0.0
6,256,6,ipw,1.0,0.9939043041293424,0,0,0.2814658648251118,0.9501629358915791,-0.9829054362722706,0.988,0.0,0.0
7,256,7,ipw,1.0,0.99442502366907,0,0,0.2815980171932563,0.9524486066697122,-0.9843383584589616,0.99,0.0,0.0
8,256,8,ipw,1.0,0.9949537542786395,0,0,0.28137410775607236,0.9544479975635755,-0.9864671844068829,0.991,0.0,0.0
9,256,9,ipw,1.0,0.9953965479571771,0,0,0.28059446874088784,0.9561291305009898,-0.9876762600883205,0.992,0.0,0.0
10,256,-1,ipw,1.0,0.9953965479571771,0,0,0.28059446874088784,0.9561291305009898,-0.9876762600883205,0.992,0.0,0.0
